"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"10513",10837,8,"AGE WEIGHT ADIPOSITY CHEST ABDOMEN THIGH KNEE FOREARM",0.720374805979385,0.710895985843093,0.69436201950235,22.9648128305478,1390.77036491614,695.132177800213,1425.78294702158,16.9807385458952,16.95574097167,0.300952539327272,0.069595519149927
"11156",10838,8,"AGE HEIGHT NECK ABDOMEN HIP THIGH KNEE FOREARM",0.720371416200882,0.710892481156844,0.695199046711763,22.9678430487375,1390.77333492999,695.134933000003,1425.78591703544,16.9809443962397,16.9559465189793,0.300956187648204,0.0695963628271056
"12719",10839,8,"HEIGHT CHEST ABDOMEN HIP THIGH BICEPS FOREARM WRIST",0.720358286988843,0.71087890688677,0.690933539939169,22.9795796200482,1390.78483797947,695.145604080433,1425.79742008492,16.9817416910533,16.9567426400845,0.300970318240822,0.0695996305381252
"10769",10840,8,"AGE WEIGHT CHEST ABDOMEN THIGH KNEE ANKLE FOREARM",0.720349003789386,0.710869309002585,0.693135395733566,22.9878781327159,1390.79297105123,695.153148938453,1425.80555315667,16.9823054298945,16.9573055490381,0.300980309480916,0.0696019410205117
"10704",10841,8,"AGE WEIGHT NECK ABDOMEN HIP KNEE ANKLE WRIST",0.720319150026075,0.710838443247298,0.691963218351489,23.014565250035,1390.81912429842,695.177410790045,1425.83170640387,16.984118352908,16.9591158032232,0.301012440226173,0.0696093712814489
"10437",10842,8,"AGE WEIGHT ADIPOSITY NECK ABDOMEN HIP ANKLE WRIST",0.72031486025849,0.710834008063862,0.690268966538452,23.0183999937366,1390.82288209949,695.180896840977,1425.83546420494,16.9843788566943,16.9593759235184,0.301017057179422,0.0696104389556375
"11536",10843,8,"AGE NECK CHEST ABDOMEN KNEE ANKLE FOREARM WRIST",0.720275018296211,0.710792815526591,0.69089335574208,23.054015842583,1390.85778057702,695.213271746852,1425.87036268246,16.9867983309015,16.961791835985,0.301059937935434,0.0696203551652926
"11378",10844,8,"AGE ADIPOSITY NECK ABDOMEN HIP KNEE BICEPS WRIST",0.720257806126699,0.710775019893706,0.692147821942735,23.0694022842285,1390.87285556878,695.227256725933,1425.88543767423,16.9878435705885,16.9628355369606,0.301078462897536,0.0696246390778244
"12722",10845,8,"HEIGHT CHEST ABDOMEN HIP KNEE ANKLE FOREARM WRIST",0.720231956986041,0.710748294510992,0.688277199506385,23.0925095569078,1390.89549336537,695.248257772181,1425.90807547081,16.9894133057502,16.9644029612939,0.30110628358282,0.0696310726338919
"11884",10846,8,"WEIGHT HEIGHT NECK CHEST ABDOMEN HIP KNEE WRIST",0.720226559593723,0.710742714156222,0.689613708960312,23.0973344374609,1390.90021995368,695.252642635247,1425.91280205913,16.9897410720236,16.9647302450582,0.301112092640654,0.0696324159832343
"12439",10847,8,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN THIGH BICEPS WRIST",0.72020819201135,0.710723723943938,0.688611032775114,23.1137537351066,1390.91630407504,695.26756393744,1425.92888618049,16.990856476217,16.96584400725,0.301131861140326,0.0696369874648392
"12233",10848,8,"WEIGHT ADIPOSITY CHEST ABDOMEN THIGH KNEE ANKLE FOREARM",0.720198773689403,0.710713986356841,0.690425812666622,23.122173037562,1390.92455110006,695.275214757943,1425.93713320551,16.9914284206123,16.9664151096783,0.301141997808862,0.069639331577671
"10850",10849,8,"AGE HEIGHT ADIPOSITY NECK CHEST ABDOMEN BICEPS FOREARM",0.720198739756337,0.710713951273501,0.691753110524919,23.1222033712827,1390.92458081259,695.275242322479,1425.93716291803,16.9914304812583,16.9664171672907,0.301142034330044,0.0696393400232239
"11882",10850,8,"WEIGHT HEIGHT NECK CHEST ABDOMEN HIP KNEE BICEPS",0.720179932269079,0.710694506244302,0.691251029245384,23.1390159122587,1390.9410484994,695.290519553287,1425.95363060484,16.9925725994603,16.9675576041652,0.30116227628667,0.0696440209921339
"11618",10851,8,"AGE ABDOMEN HIP THIGH KNEE ANKLE FOREARM WRIST",0.720170941914957,0.710685211132413,0.690811035226109,23.1470526422577,1390.94891999122,695.297822033801,1425.96150209667,16.9931185547463,16.968102755743,0.301171952345766,0.0696462585886588
"10453",10852,8,"AGE WEIGHT ADIPOSITY NECK ABDOMEN KNEE ANKLE WRIST",0.720166667385376,0.710680791703524,0.68990293743873,23.1508737642794,1390.95266246084,695.301293974269,1425.96524456629,16.9933781331776,16.9683619520455,0.30117655289879,0.0696473224702821
"10578",10853,8,"AGE WEIGHT ADIPOSITY ABDOMEN HIP KNEE ANKLE WRIST",0.720150456893687,0.710664031703642,0.689691337370797,23.1653647779922,1390.96685467803,695.314460318495,1425.97943678348,16.9943625441927,16.9693449138958,0.301193999783913,0.069651357076637
"11381",10854,8,"AGE ADIPOSITY NECK ABDOMEN HIP ANKLE BICEPS WRIST",0.72014755977999,0.710661036382702,0.689640337701728,23.167954589277,1390.96939100228,695.316813311494,1425.98197310773,16.9945384765882,16.9695205872988,0.301197117863909,0.0696520781351685
"11052",10855,8,"AGE HEIGHT ADIPOSITY ABDOMEN THIGH KNEE BICEPS WRIST",0.720146792724101,0.710660243324918,0.692507049013806,23.1686402820748,1390.97006252916,695.317436299139,1425.9826446346,16.9945850574249,16.9695670995632,0.301197943424061,0.069652269046624
"11484",10856,8,"AGE ADIPOSITY ABDOMEN HIP THIGH ANKLE FOREARM WRIST",0.720139799669007,0.710653013217109,0.688147935362341,23.1748915703891,1390.97618458546,695.323115846456,1425.98876669091,16.9950097231658,16.9699911401479,0.301205469847764,0.0696540095382183
"10180",10857,8,"AGE WEIGHT HEIGHT NECK ABDOMEN HIP KNEE BICEPS",0.720121247833051,0.710633832505357,0.694278271312622,23.1914755774873,1390.99242501251,695.338182439471,1426.00500711795,16.9961363164866,16.9711160749956,0.301225436654259,0.0696586268784371
"11956",10858,8,"WEIGHT HEIGHT NECK ABDOMEN HIP KNEE ANKLE BICEPS",0.720115004378348,0.710627377408122,0.691539776224064,23.1970567769628,1390.99789034108,695.34325275589,1426.01047244653,16.996515461407,16.9714946617716,0.301232156304659,0.0696601808030498
"12448",10859,8,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN ANKLE BICEPS WRIST",0.720114420426482,0.710626773661278,0.686411343232201,23.1975787879332,1390.99840150838,695.343726978411,1426.01098361383,16.9965509229254,16.9715300710866,0.301232784795227,0.0696603261420041
"11439",10860,8,"AGE ADIPOSITY CHEST ABDOMEN HIP BICEPS FOREARM WRIST",0.720104746791605,0.710616772106574,0.686047168809768,23.2062263217863,1391.00686925292,695.35158272278,1426.01945135837,16.9971383716537,16.9721166550238,0.301243196249714,0.0696627337993101
"11389",10861,8,"AGE ADIPOSITY NECK ABDOMEN THIGH KNEE FOREARM WRIST",0.720100884617227,0.710612779011031,0.691735491687522,23.2096788279127,1391.01024989687,695.354719037738,1426.02283200232,16.99737290908,16.9723508471843,0.301247352996713,0.0696636950504299
"10702",10862,8,"AGE WEIGHT NECK ABDOMEN HIP KNEE ANKLE BICEPS",0.720085563626222,0.710596938664399,0.693072070914544,23.2233746919867,1391.02366022888,695.367160191989,1426.03624233433,16.9983033035798,16.9732798720378,0.30126384253788,0.0696675082702173
"11481",10863,8,"AGE ADIPOSITY ABDOMEN HIP THIGH KNEE FOREARM WRIST",0.720083424444027,0.710594726967554,0.691735976917439,23.2252869670188,1391.02553257831,695.368897228206,1426.03811468376,16.9984332092332,16.9734095864554,0.301266144878038,0.0696680406882489
"11533",10864,8,"AGE NECK CHEST ABDOMEN THIGH BICEPS FOREARM WRIST",0.720079268507466,0.710590430151786,0.693007889124199,23.2290020754103,1391.02917007958,695.372271852454,1426.04175218503,16.998685585892,16.9736615915871,0.301270617792812,0.0696690750534232
"12306",10865,8,"WEIGHT NECK CHEST ABDOMEN HIP KNEE ANKLE BICEPS",0.720075134927926,0.710586156450907,0.692287611921884,23.2326971982316,1391.0327879592,695.375628276113,1426.04537006465,16.9989366048807,16.9739122410473,0.301275066645367,0.0696701038541899
"10628",10866,8,"AGE WEIGHT NECK CHEST ABDOMEN HIP KNEE BICEPS",0.720062062241025,0.710572640622076,0.694986904000195,23.244383240135,1391.04422936333,695.386242855803,1426.05681146878,16.9997304671045,16.9747049346159,0.301289136401609,0.0696733574967481
"11328",10867,8,"AGE ADIPOSITY NECK CHEST ABDOMEN BICEPS FOREARM WRIST",0.720060661535288,0.710571192434789,0.686134845113308,23.2456353703253,1391.0454552495,695.387380153887,1426.05803735495,16.9998155274582,16.9747898697511,0.301290643940834,0.0696737061164184
"11161",10868,8,"AGE HEIGHT NECK ABDOMEN HIP THIGH BICEPS FOREARM",0.72005817948856,0.710568626250884,0.694633772442038,23.2478541415915,1391.04762750137,695.389395429853,1426.06020960682,16.9999662541718,16.9749403745779,0.301293315296211,0.0696743238695189
"12444",10869,8,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN KNEE BICEPS FOREARM",0.720049367333064,0.710559515378252,0.691946693345861,23.2557315748353,1391.05533961853,695.396550246323,1426.06792172398,17.0005013880285,16.9754747206568,0.301302799565262,0.0696765171144399
"12445",10870,8,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN KNEE BICEPS WRIST",0.720044827369391,0.710554821517506,0.689245275064035,23.2597899758451,1391.05931275504,695.400236277456,1426.07189486049,17.0007770854184,16.9757500121889,0.301307685797351,0.069677647059579
"12724",10871,8,"HEIGHT CHEST ABDOMEN HIP ANKLE BICEPS FOREARM WRIST",0.72004288108674,0.710552809259172,0.687567394984974,23.2615298125586,1391.06101601913,695.401816461997,1426.07359812458,17.0008952769031,16.9758680296822,0.301309780525289,0.0696781314671159
"12873",10872,8,"NECK CHEST ABDOMEN HIP THIGH ANKLE BICEPS WRIST",0.720041278315342,0.71055115215654,0.690041686250624,23.2629625749165,1391.0624186549,695.403117742419,1426.07500076035,17.0009926080543,16.975965217551,0.301311505541962,0.0696785303786227
