"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"7",1,1,"ABDOMEN",0.647801710405421,0.646358274792329,0.63726116075575,73.9776367766674,1438.17876697618,739.077060567507,1448.69476158398,20.0918595051226,20.0905260041267,0.357972032046949,0.0820103112474308
"4",2,1,"ADIPOSITY",0.500915085629747,0.498869655652819,0.479814043252199,205.758198868963,1523.92991699603,823.603699263513,1534.44591160383,28.4713023228936,28.4694126764926,0.507266634277963,0.116213253657527
"6",3,1,"CHEST",0.471350670485865,0.469184074873102,0.463350209380196,232.282160812678,1538.08698785353,837.580603246993,1548.60298246133,30.1578638223993,30.1558622385523,0.537315711965187,0.123097406589073
"8",4,1,"HIP",0.37451758312988,0.371954130601723,0.356636819517138,319.156773803427,1579.46367128132,878.468599936612,1589.97966588912,35.6819019681929,35.6795337527573,0.635736226982745,0.145645249289432
"2",5,1,"WEIGHT",0.36224961942935,0.359635888361437,0.347460849001245,330.163079889177,1584.24191003445,883.194021050582,1594.75790464225,36.3817526215528,36.3793379568802,0.6482053048423,0.148501877362812
"9",6,1,"THIGH",0.310737862247997,0.307913017421144,0.299750235794086,376.377283027737,1603.34988772863,902.098138342735,1613.86588233643,39.3203443715045,39.3177346718714,0.700561517059413,0.160496527433963
"10",7,1,"KNEE",0.269928067501484,0.266935969417473,0.259370488808994,412.990131194001,1617.50015388063,916.104903031536,1628.01614848842,41.6484211586566,41.6456569440712,0.742040324834558,0.169999197003875
"12",8,1,"BICEPS",0.236196467963218,0.233066125618805,0.22371230276182,443.252717417992,1628.61136678189,927.107791600275,1639.12736138968,43.572708069834,43.5698161399163,0.776324901414434,0.17785368993793
"5",9,1,"NECK",0.230612152496682,0.227458923613472,0.21832665932907,448.262732674348,1630.40337748314,928.882685429736,1640.91937209094,43.8912765725802,43.8883634992031,0.782000763036159,0.179154012690893
"13",10,1,"FOREARM",0.12926614582255,0.125697564452971,0.112765133865013,539.186148919517,1660.84370560319,959.046861916446,1671.35970021098,49.6727632738524,49.6694664819712,0.885008179655769,0.202752700693033
"14",11,1,"WRIST",0.123417307649965,0.119824755632137,0.110113522565039,544.43348293068,1662.49059616475,960.679581097621,1673.00659077255,50.0064220061735,50.0031030692912,0.890952900421348,0.204114618263733
"1",12,1,"AGE",0.0843638052152068,0.0806111978595315,0.0703069612192386,579.470658782361,1673.21326256431,971.311851488706,1683.72925717211,52.2343075674729,52.2308407653512,0.930646624207495,0.213208330483811
"11",13,1,"ANKLE",0.0659536928264646,0.0621256341905075,0.0411421068332487,595.987444857852,1678.1103594472,976.168729467798,1688.626354055,53.2845494412024,53.2810129343038,0.949358541717364,0.217495174263884
"3",14,1,"HEIGHT",2.20877919159944e-07,-0.00409813887258115,-0.0181917492984334,655.158153004978,1694.89470370281,992.820168195537,1705.4106983106,57.0469978443181,57.0432116229174,1.01639321812408,0.232852616142933
"32",15,2,"WEIGHT ABDOMEN",0.708066265943844,0.705663519161489,0.698254117632664,21.9107874959767,1394.01256164329,695.522929161936,1408.03388778702,16.7915826996419,16.7887965473389,0.299141974403221,0.0685393466534797
"84",16,2,"ABDOMEN WRIST",0.686858179812619,0.684280880881036,0.674790812533968,40.937799080884,1411.26438154935,712.369523734744,1425.28570769308,18.011439436394,18.0084508787123,0.320873716982131,0.0735185189711444
"62",17,2,"NECK ABDOMEN",0.682557169391454,0.679944471197145,0.671416099143032,44.7964864986903,1414.62020370609,715.647978911874,1428.64152984982,18.2588269896431,18.2557973840498,0.325280925191473,0.0745282975949459
"78",18,2,"ABDOMEN HIP",0.680564825415504,0.677935729328389,0.668868355445602,46.5839345351124,1416.15933117759,717.151788102994,1430.18065732132,18.3734235735099,18.3703749534173,0.327322462845842,0.0749960542756259
"43",19,2,"HEIGHT ABDOMEN",0.679563628155625,0.676926291761844,0.665855247328839,47.4821670179783,1416.92915670992,717.903987932647,1430.95048285365,18.4310109114112,18.427952736109,0.328348381025717,0.0752311124345783
"80",20,2,"ABDOMEN KNEE",0.664971693117641,0.662214258493095,0.651983673994582,60.5734433969989,1427.88385590643,728.610779761784,1441.90518205016,19.2703167378869,19.2671193003183,0.343300610755998,0.0786569641853084
"70",21,2,"CHEST ABDOMEN",0.660995311242603,0.658205149195217,0.646941535117976,64.1408876036202,1430.78638826236,731.448556374683,1444.80771440609,19.4990321527598,19.4957967654643,0.347375174899555,0.0795905274702812
"81",22,2,"ABDOMEN ANKLE",0.660692876183729,0.657900224958903,0.639984151966192,64.4122197423751,1431.0057535396,731.663043696658,1445.02707968333,19.516427755631,19.5131894819608,0.347685077490747,0.0796615322872044
"20",23,2,"AGE ABDOMEN",0.658964552682513,0.656157676572904,0.646336952196618,65.9627996050091,1432.255619457,732.885160140237,1446.27694560073,19.6158382848603,19.612583516445,0.349456075646313,0.0800673030144625
"79",24,2,"ABDOMEN THIGH",0.65644572340105,0.653618116186244,0.643234627547611,68.2225883300392,1434.06585638488,734.655337630863,1448.08718252861,19.7607174997366,19.7574386921605,0.352037098243369,0.0806586663724564
"82",25,2,"ABDOMEN BICEPS",0.655018570086183,0.652179216753559,0.641976364642539,69.5029708448686,1435.08564436367,735.652627065801,1449.1069705074,19.8428051796313,19.8395127516132,0.353499489911689,0.0809937292458568
"53",26,2,"ADIPOSITY ABDOMEN",0.654730189205094,0.651888462367276,0.639452831737944,69.7616941606542,1435.29119763671,735.853651444412,1449.31252378044,19.8593924076522,19.8560972273895,0.35379499130836,0.0810614344641011
"83",27,2,"ABDOMEN FOREARM",0.650042055930856,0.64716174363399,0.63346913333425,73.9676920790233,1438.60895432464,739.098589548525,1452.63028046837,20.1290466764055,20.1257067536145,0.358598880959741,0.0821621006569946
"17",28,2,"AGE ADIPOSITY",0.545218263314154,0.541475203752953,0.52282397426087,168.011233026142,1503.06209005879,802.246541399441,1517.08341620252,26.1583511975297,26.1540108591748,0.466010915369447,0.106772323531432
"60",29,2,"ADIPOSITY WRIST",0.518552059372637,0.514589524881876,0.492171474172217,191.935040586208,1517.07929354395,816.008107015023,1531.10061968768,27.692150538045,27.6875557032176,0.493335544099644,0.113032936755145
